host_time,elapsed_s,latency_s,uptime_ms
1789245501.982,3369.1,0.0068,3538427
1789245511.986,3379.1,0.0166,3548434
1789245521.987,3389.1,0.0114,3558437
1789245531.989,3399.1,0.0067,3568441
1789245541.993,3409.1,0.0138,3578447
1789245551.997,3419.1,0.0127,3588453
1789245562.002,3429.1,0.0165,3598461
1789245572.007,3439.1,0.0120,3608467
1789245582.011,3449.1,0.0121,3618474
1789245592.016,3459.1,0.0096,3628480
1789245602.020,3469.1,0.0061,3638486
1789245612.020,3479.1,0.0125,3648489
1789245622.024,3489.1,0.0132,3658495
1789245632.029,3499.1,0.0064,3668502
1789245642.033,3509.1,0.0106,3678508
1789245652.036,3519.1,0.0061,3688514
1789245662.042,3529.1,0.0174,3698521
1789245672.043,3539.1,0.0168,3708524
1789245682.047,3549.1,0.0068,3718530
1789245692.052,3559.1,0.0145,3728538
1789245702.057,3569.1,0.0158,3738545
1789245712.059,3579.1,0.0145,3748549
1789245722.061,3589.1,0.0125,3758553
1789245732.063,3599.1,0.0111,3768557
1789245742.068,3609.2,0.0094,3778564
1789245752.072,3619.2,0.0129,3788570
1789245762.076,3629.2,0.0148,3798576
1789245772.081,3639.2,0.0076,3808583
1789245782.085,3649.2,0.0126,3818589
1789245792.088,3659.2,0.0089,3828594
1789245802.093,3669.2,0.0068,3838601
1789245812.097,3679.2,0.0168,3848608
1789245822.101,3689.2,,
1789245832.106,3699.2,0.0145,3868621
1789245842.110,3709.2,0.0098,3878627
1789245852.111,3719.2,0.0121,3888630
1789245862.116,3729.2,0.0062,3898637
1789245872.121,3739.2,0.0136,3908644
1789245882.125,3749.2,0.0213,3918656
1789245892.126,3759.2,0.0082,3928654
1789245902.130,3769.2,0.0107,3938659
1789245912.132,3779.2,0.0090,3948664
1789245922.136,3789.2,0.0119,3958669
1789245932.139,3799.2,0.0138,3968674
1789245942.139,3809.2,0.0086,3978677
1789245952.144,3819.2,0.0072,3988685
1789245962.146,3829.2,0.0099,3998688
1789245972.151,3839.2,0.0088,4008695
1789245982.154,3849.2,0.0106,4018700
1789245992.159,3859.2,0.0080,4028707
1789246002.164,3869.2,0.0122,4038714
1789246012.167,3879.2,0.0163,4048719
1789246022.171,3889.3,0.0072,4058725
1789246032.175,3899.3,0.0079,4068731
1789246042.180,3909.3,0.0121,4078738
1789246052.184,3919.3,0.0090,4088744
1789246062.189,3929.3,0.0083,4098751
1789246072.194,3939.3,0.0103,4108758
1789246082.197,3949.3,0.0109,4118764
1789246092.201,3959.3,0.0122,4128770
1789246102.206,3969.3,0.0127,4138776
1789246112.210,3979.3,0.0099,4148783
1789246122.215,3989.3,0.0120,4158790
1789246132.217,3999.3,0.0123,4168795
1789246142.222,4009.3,0.0062,4178802
1789246152.228,4019.3,0.0076,4188809
1789246162.230,4029.3,0.0150,4198813
1789246172.234,4039.3,0.0121,4208820
1789246182.235,4049.3,0.0121,4218823
1789246192.240,4059.3,0.0139,4228829
1789246202.243,4069.3,0.0118,4238835
1789246212.248,4079.3,0.0116,4248842
1789246222.253,4089.3,0.0102,4258849
1789246232.254,4099.3,0.0093,4268852
1789246242.255,4109.3,0.0151,4278855
1789246252.259,4119.3,0.0135,4288861
1789246262.259,4129.3,0.0160,4298864
1789246272.260,4139.3,0.0136,4308867
1789246282.262,4149.3,0.0077,4318871
1789246292.265,4159.3,0.0060,4328875
1789246302.269,4169.4,0.0125,4338882
1789246312.270,4179.4,0.0090,4348885
1789246322.271,4189.4,0.0070,4358888
1789246332.276,4199.4,0.0162,4368895
1789246342.277,4209.4,0.0102,4378898
1789246352.282,4219.4,0.0104,4388905
1789246362.286,4229.4,0.0163,4398911
